Provider,Model,Context,Input/1k Tokens,Output/1k Tokens,Per Call,Total
OpenAI,gpt-4o,128K,0.005,0.015,0.0080,0.80
OpenAI / Azure,gpt-4-turbo,128K,0.01,0.03,0.0160,1.60
OpenAI / Azure,gpt-3.5-turbo,16K,0.0005,0.0015,$0.0008,0.08
OpenAI / Azure,gpt-4,8K,0.03,0.06,0.0330,3.30
Anthropic,Claude 3 Haiku,200K,$0.00025,$0.00125,$0.0006,$0.07
Anthropic,Claude 3 Sonnet,200K,$0.003,$0.015,$0.0078,$0.78
Anthropic,Claude 3 Opus,200K,$0.015,$0.075,$0.0390,$3.90
Meta (via Deepinfra),Llama 3 70b,8K,$0.00059,$0.00079,$0.0005,$0.05
Meta (via Deepinfra),Llama 2 70b,4K,$0.00064,$0.0008,$0.0005,$0.05
Google,Gemini 1.0 Pro,32K,$0.0005,$0.0015,$0.0008,$0.08
Google,Gemini 1.5 Pro,1M,$0.007,$0.021,$0.0112,$1.12
Cohere,Command,4K,$0.01,$0.02,$0.0110,$1.10
Cohere,Command R,128K IN/4K OUT,$0.0005,$0.0015,$0.0008,$0.08
Cohere,Command R+,128K,$0.003,$0.015,$0.0078,$0.78
Mistral AI (via Anyscale),Mixtral 8x7B,32K,$0.0005,$0.0005,$0.0003,$0.03
Mistral AI,Mistral Small,32K,$0.002,$0.006,$0.0032,$0.32
Mistral AI,Mistral Large,32K,$0.008,$0.024,$0.0128,$1.28
DataBricks,DBRX,32K,$0.00225,$0.00675,$0.0036,$0.36
